parent,category,desc
77,82,"<h2>Online Friendship day gifts, Flower and Chocolates</h2><p>Friendship Day celebrations take place on the first Sunday of August every year. Initially created by the greeting card industry, it has now grown gradually and gained popularity. Today Friendship Day is celebrated in large number of countries including India. On this day people celebrate the bonds of friendship and spend time with their friends and express love for them.  The occasion is usually marked by the exchange of gifts like Friendship Day flowers, cards, wrist bands and chocolates.</p><p>If you are searching for the perfect gifts for friendship day then our online portal will make a fine destination. We have an amazing and varied range of exclusive items meant just for the occasion. From friendship day chocolates to unique gift combos, our selection is sure to fulfill your desires.</p> <p>Cakes compliment any occasion and they are just ideal to add an air of celebrations. Percent your friends with our faboulous Triple Chocolate Cake 1kg and make their day.  Crafted from the finest chocolates by skilled bakers, this cake is an absolute favorite. Or try the amazing <a href=""/flowers-with-chocolates"">flower combos</a> to deliver a special message. You cannot ever go wrong with the Perfect Fulfillment combo which is a bunch of 8 Pink/blue <a href=""/orchids"">orchids</a> wrapped in paper packing and it comes along with a 500gm chocolate cake.Send friendship day gifts for your best friend online and have them delivered to a destination of your choice. We offer customized delivery services, and your gifts will reach their destinations intact and on time.</p>"
132,82,"<h2>Buy Romantic Gifts online</h2><p>Some things in life can never be explained especially emotions, they are the toughest part to handle and romance is one such emotion. Bookmyflowers have added a whole new meaning to romance by coming up with an array of online romantic gifts which gives the finest meaning to the expression of love. So be it your <a href=""/valentines-day/gifts"">lovely Valentine's Day</a> or Wedding Anniversary our connoisseurs have handpicked some of the best romantic gifts to woo your loved ones.</p> </br><p>You can easily buy and send a <a href=""/romantic/gifts"">romantic gift</a> which doesn't hurt your pocket and also ensures a timely delivery at your loved one's doorstep so that they can understand the importance they have in your heart. We have ample of choices to choose from so that you find the perfect gift for your loved ones. Our online delivery of romantic gifts will ensure that your love has no limits and it will keep increasing with passage of time.</p>"
110,82,"<h2>Buy Housewarming Gifts , Flowers and Cakes Online</h2><p>You home has the perfect reel of memories which as you roll down will never fail to gift you an emotion which is so true, so pure and so sweet that it will be missed badly in the years to come. You therefore knit and celebrate this beautiful web of memories through Housewarming. Get an online Housewarming gift to give a perfect start to your new life. Send a bunch of sparkling new flowers cuddled together with a ribbon which will spread warmth, togetherness and happiness in your home. These flowers are sure to liven up your living room and fill it with an unmatched freshness. </p></br><p>Bookmyflowers is known to have been blessed with the best Housewarming <a href=""/"">gifts and flowers online</a> that will celebrate the moment in the best way possible. We can also deliver Housewarming gifts at a time specified by you. The gifts are quite thoughtfully chosen by our connoisseurs so that it can exhibit the quantum of joy that you have in your hearts. </p>"
0,92,"<h2>Best Online Gift for Mom</h2><p>Mothers are the backbone of every family.  They were there for you in the thickest of times and when you need a shoulder to cry open.  Mothers always seem to know what you need even before you asked or wished, they are special.  It is time to show your appreciation for all the sacrifices she made with a gift that conveys your gratitude and love. A gift for mom is a special one and the choices to make can be rather difficult.</p></br><p>At Bookmyflowers we have an amazing array of the perfect birthday, anniversary and <a href=""/mothers-day/gifts"">Mother's day gifts</a> for mom ranging from the prettiest bouquet of flowers to amazing gift combos of chocolates and roses. Try the special Combo which is a bunch of 12 mix color roses with green fillers in a blue paper packing with 2 Cadbury chocolates and 200gms Ferrero Rocher chocolates. This will melt her heart just like the chocolates melt in the mouth. Or you can present her with the Simplicity, a bouquet of mixed Roses with green fillers wrapped in pink ribbon. It is the perfect way of expressing an everlasting love and a classic expression of affection! </p> </br><p>When it comes to anniversaries or if you are searching for a suitable gift for Mother's day, you are sure to find the right gifts here with our <a href=""/gifts-for-her"">unique gift ideas for women</a>. Just order them online and have them delivered to any destination of your choice. Bring a smile to the most important woman in your life</p>"
0,86,"<h2>Best Online gifts for Dad</h2><p>Fathers are just wonderful in a million different ways but we do not sing their praises as often as we should. There are plenty of reasons to thank him as he's the hero you need, and for always going the extra mile for you.  And what better way to express your gratitude then with special gifts for Dad. Yes, you can make your dad happy by giving him a unique gift that will bring a big smile on his face. At Bookmyflowers, we have for you an amazing range of the most suitable gifts for dad ranging from the prettiest bouquet of flowers to exotic <a href=""/fathers-day/gifts"">Father's day gift</a> combos. We have it all.</p> </br><p>Nothing conveys your love more than flowers, and roses are the way to one's heart. So gift your dad a Divine Style, which is a lovely Bunch of 12 Yellow and 10 White Roses with green fillers. Or opt for the Assorted Roses Bunch which is an absolute favourite! This bouquet is a hand-tied bunch of twenty Mix Roses, especially created to bring a delightful smile on your father's face. When it comes to special occasions and whether you checking out <a href=""/anniversary/gifts-for-him"">anniversary gifts for him</a> or looking for a unique present for his birthday, the Candles of Joy is a perfect arrangement. Your dad deserves a special treat on this special occasion, and with our range of assorted gift ideas for him you're sure to have the ideal present for the number one man at home.</p>"
0,78,"<h2>Send Gerbera Flower Arrangement Online</h2> <p> If your friend is going through the dullest moment of her life, brighten it up with this rainbow colored Gerberas. These brightly colored Gerberas symbolizes cheerfulness and is sure to illuminate the dullest of face within a snap of the finger. You can now buy these glamorous blooms from Bookmyflowers which can be an excellent gift on occasions like, &lsquo;Get Well Soon&rsquo;, &lsquo;<a href=""/thank-you/flowers"">Thank you</a>&rsquo; and  &rsquo;Birthdays. Order a bouquet of Gerbera flowers for your dear ones and enjoy the  cheerful expression on their face.</p> </br>  <p>If you feel that your dear one is  down with some illness these brightly colored Gerbera flower is sure to cure  half of it with its warm and vibrant colors of pink, orange, red, white and  more. This glamorous <a href=""/flower-arrangements"">flower arrangement</a> has been specially done by our florists which has been hand tied with all the love and affection.</p> </br>  <p>Geographical distance cannot  deter you from sending flowers as you can send them online. This warm and  stunning look of these Gerbera flowers is going to gift them a cheerful smile  and the deepest affliction you have toward them which is completely unmatched.With the strong logistical support that we have we can send online Gerberas in Mumbai, Pune. Bangalore, Hyderabad, Delhi, Chennai to your dear ones and make them feel that you can travel thousand miles to make their occasion ‘Picture Perfect'. We also ensure that all our gifts our timely delivered so that all your friends, families and relatives can rejoice and be a part of the celebration. Get an <a href=""/"">online delivery of flowers</a> such as Gerberas and make their day to be the most memorable one in their lives. If smile is what you want to gift Gerberas can be best pick for you.</p>"
0,116,"<h2>Mixed Flower Bouquet Online</h2> <p>Make  your dear one&rsquo;s life colorful with different flowers hand tied together to form  a bunch. These vibrant set of blooms are sure to gift a cheerful smile on your  dear one&rsquo;s face. For all such occasions we have mixed bouquets. The different  color flower will be indicative of different meaning and this is surely going  to make your loved feel that you have put a great deal of thought into it. This flower bunch is freshly wrapped to give you a feel as if they have been plucked  right from the garden to be <a href=""/"">sent a gift</a> to your loved ones.</p></br> <p>At  Bookmyflowers we can make a nice bunch or a <a href=""/flower-bouquets"">bouquet</a> of mixed flowers as per your instructions. The beautiful bunch can be made by  combining different flowers like Daisies, Tulips, Lilies, Roses and <a href=""/gerberas"">Gerberas</a> which  will make them look strikingly elegant. These set of mixed bouquet can be an  excellent gift on occasions like &lsquo;Get well soon, Thank you and Birthday.</p> </br><p> We  also ensure a timely delivery of all these mixed bunch of flowers so that they reach your  loved ones well on time. If you feel that you are too tired to visit a florist  you can order it online from your home</p>"
118,81,"<h2>Mother's Day Gift Hamper</h2>  <p>Your Mother is the one who has left no stone unturned to bless you with everything which is larger than life and now it is your turn. Send a colossal Mother's Day gift Hamper from Bookmyflowers and make her feel that every tiny effort she has put in making your life is and will always be worth appreciating. The Mother's Day gift hamper has everything to make the day a perfect one for her starting from a nice <a href=""/mothers-day/flowers"">bunch of Mother's day flowers</a> making you feel as if they have been just plucked from the gardens and it is beautifully complied with a box of chocolates and handmade cake.</p> </br>  <p>You can order it online and out gift messengers will ensure that they deliver the gift with the same amount of warmth as it would have been given by you, personally. You can also leave a secret message for her saying no matter whether you are near or far she will always be the best mom of the universe.</p>  "
2,125,"<h2>Personalized wedding anniversary gifts online in India</h2><p>For married couples,wedding/marriage anniversary is that time of the year when the couple will relive the moments they have spent together. It marks a commitment that the couple will keep and spend the rest of their lives together. It is also the time you would like to shower your partner with the personalized Wedding Anniversary Gifts. After all, presents and gifts for marriage anniversary are always special.You can order these perfect personalized <a href=""/anniversary/gifts-for-wife"">wedding anniversary gifts for wife</a> or husband with home delivery services in India from our online store.</p> </br><p>We at Bookmyflowers understand this. So, we bring to you a dazzling array of anniversary gifts to choose from and send them to your significant other. In order to buy Personalized <a href=""/anniversary/gifts"">Anniversary Gifts Online</a> India, we are the first and foremost company who will deliver your gift within a stipulated time. What's more, once you have selected the marriage anniversary gifts for wife or husband online, we will also gift pack it and send them to your partner. Our prices are some of the best in the market and when you are at our website, you wouldn't be surprised to see some of the best and largest collections of Wedding Anniversary Gifts Online India.</p>"
131,204,"<h2>Colorful and traditional Rakhi sets available online</h2><p>Raksha Bandhan is the festival that celebrates the lovely companion of a brother and a sister. With rakhi sets online available with us, you can have a tension free celebration. All you have to do is login to our website to place an order and the rakhis would be at your door step enhancing your happiness.</p><br><p>A brother dearly misses his sister when she is not around to celebrate the raksha bandhan festival with him. So, for those sisters who are away from their brothers, online shopping is the best option and you can send rakhi set online using our service. Our stock of rakhis are surely going to mesmerize you. Kundan rakhi, gold and silver rakhi, pearl rakhi, beaded rakhi, and stone rakhi are our USP. And when you select these rakhi sets for your brother, his happiness is surely going to be enhanced</p><br><p>Rakhi - be it simple one or the embellished one can be identified in our website and we are glad to let you know that in our gift combo segment you would get various rakhi sets. For those sister who have more than one brother, you can check out our <a href=""/rakhi/2-rakhi-sets"">set of 2 rakhis</a> and surprise your brothers. </p><br><h2>Various rakhi sets online to illuminate Raksha Bandhan</h2><p>Rakhi is the best time to cherish with your brothers and sisters and our rakhi sets are ready to make your celebration a happier one. A brother waits with bated breath for this season of rakhi when a sister ties a band of love on his wrist. A sister blesses her brother so that prosperity and happiness prevails in his life. Get to know about our various set of rakhis in our combo section. If you have more than one brother and cousin you can have the <a href=""/rakhi/3-rakhi-sets"">set of 3 rakhis</a> and wish them on this holy day.</p><br><p>For those families that are an extended one, get a <a href=""/rakhi/5-rakhi-sets"">set of 5 rakhis</a> and keep enjoying in this season of raksha bandhan</p><h2>Buy Rakhi sets for Rakshabandhan</h2><p>As kids we all have been always fighting for the best Rakhi to be tied on our wrist. Sometimes those trivial fights went on and on taking one complete day. For all those moments <a href=""/rakhi"">send online rakhi</a> sets from Bookmyflowers which will help in building love between your brother and sister. We have innumerable online Rakhi threads and designs to choose from starting from Mauli Rakhi, Silver, Designer Rakhi, Zardosi Rakhi and many more to choose from.</p></br><p>Our online Rakhi's come in sets of 2, 5 and 3 so that there is less fight and more love between your brothers. You can <a href=""/rakhi/sweets"">send Rakhi sweets</a> along with these online rakhi sets because it is the right time to sweeten up the occasion. All our Rakhi's have been designed quite beautifully and intricately to commence a relationship of strong and meaningful promise. Make your brother believe that behind those small trivial fights was quantum of love.</p></br><p>We are just tap of a button away, all you need to do is place the order online to buy rakhi sets and we will make sure that it is being delivered at your doorstep. All the online rakhi sets are available in different price range starting from being quite reasonably priced to the higher ones. You can now send Rakhi sets online  across the country from Pune to Mumbai, Delhi, Bangalore and many more to list down.</p>"
